Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
amazon zapatos,1,1,1300,36,0.06,https://www.amazon.com.mx/b?ie=UTF8&node=14093028011,1040,0,62.00,1,42800000,"[62,55,62,81,81,81,62,81,81,100,100,100]",2025-10-10,"Sitelinks, Video, Image, Related searches",transactional,Organic
tenis de seguridad,6,6,18100,21,0.08,https://www.amazon.com.mx/tenis-de-seguridad-diel%C3%A9ctrico/s?k=tenis+de+seguridad+diel%C3%A9ctrico,905,0,72.00,1,82800000,"[100,100,100,100,82,100,100,100,82,82,82,82]",2025-10-03,"Knowledge panel, Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
zapatos chunky,1,1,1900,26,0.13,https://www.amazon.com.mx/chunky/s?k=chunky,893,0,116.00,0.99,12600000,"[55,66,66,66,100,66,66,55,55,66,55,55]",2025-10-11,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",informational,Organic
tenis 720,2,2,9900,32,0.14,https://www.amazon.com.mx/air-max-720/s?k=air+max+720,891,0,124.00,0.45,33000000,"[24,20,30,45,82,45,55,67,67,82,100,82]",2025-10-01,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
tenis kyrie irving,3,3,9900,29,0.11,https://www.amazon.com.mx/tenis-kyrie-irving/s?k=tenis+kyrie+irving,891,0,98.00,0.38,906000,"[82,82,100,100,82,67,67,82,82,67,55,55]",2025-10-03,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
tenis nike cortez,1,1,6600,41,0.07,https://www.amazon.com.mx/Nike-Cortez-para-hombre/dp/B0DLKDJ21J,879,0,61.00,1,4230000,"[67,67,67,82,100,82,82,67,67,67,67,55]",2025-10-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
tenis nike 270,1,1,6600,41,0.07,https://www.amazon.com.mx/Nike-Wmns-Air-MAX-270/dp/B07G2SX8J2,879,0,61.00,0.84,9220000,"[44,44,44,67,100,82,82,82,67,82,82,82]",2025-10-01,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
tenis nike air max 270,1,1,6600,37,0.09,https://www.amazon.com.mx/Nike-Wmns-Air-MAX-270/dp/B07G2SX8J2,879,0,79.00,0.81,5580000,"[67,54,54,81,100,81,81,81,81,81,81,81]",2025-10-05,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
tenis nike azules,1,1,6600,38,0.09,https://www.amazon.com.mx/Nike-Air-Force-FJ4146-103-Azul-Blanco/dp/B0CSF2RTD3,879,0,79.00,0.96,6860000,"[67,55,67,82,100,67,55,55,67,82,67,67]",2025-10-05,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",informational,Image pack
tenis cortes nike,1,1,6600,38,0.07,https://www.amazon.com.mx/Nike-Cortez-para-hombre/dp/B0DLKDJ21J,879,0,61.00,1,4030000,"[67,67,67,82,100,82,82,67,67,67,67,55]",2025-10-02,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",informational,Image pack
tenis kobe bryant,2,2,6600,35,0.09,https://www.amazon.com.mx/tenis-kobe-bryant/s?k=tenis+kobe+bryant,858,0,77.00,0.42,1590000,"[81,81,100,100,100,100,81,81,81,67,67,67]",2025-10-02,"Image pack, Video, Image, People also ask, Related searches",informational,Organic
amazon tenis,1,1,1000,42,0.11,https://www.amazon.com.mx/b?ie=UTF8&node=21411155011,800,0,88.00,1,47400000,"[84,53,53,100,84,53,46,53,38,53,53,46]",2025-10-14,"Image pack, Sitelinks, Video, Image, Related searches","informational, transactional",Organic
tenis yeezy,1,1,9900,26,0.08,https://www.amazon.com.mx/adidas-Yeezy-Boost-HQ2060-hombre/dp/B0C7ZX2PGM,775,0,62.00,0.84,7450000,"[82,67,67,82,100,82,67,67,67,67,67,55]",2025-10-04,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
tenis jordan retro 4,1,1,9900,31,0.07,https://www.amazon.com.mx/Air-Jordan-Retro-308497-neutro/dp/B0B1YW9T8K,775,0,54.00,0.42,21200000,"[55,55,55,67,100,55,45,55,45,45,55,45]",2025-10-02,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
tenis jordan retro 4,1,1,9900,31,0.07,https://www.amazon.com.mx/Jordan-Air-4-Retro-Mujer/dp/B0BVXQBPSY,775,0,54.00,0.42,21200000,"[55,55,55,67,100,55,45,55,45,45,55,45]",2025-10-02,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
zapatos hush puppies hombre,1,1,1600,30,0.04,https://www.amazon.com.mx/Zapatos-para-Hombre-Hush-Puppies/s?rh=n%3A14093017011%2Cp_89%3AHush%2BPuppies,752,0,30.00,1,1200000,"[100,68,84,84,100,84,68,68,53,68,84,68]",2025-10-11,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","commercial, informational",Organic
maquina para lavar tenis,1,1,1600,32,0.18,https://www.amazon.com.mx/lavadora-de-tenis-con-cepillo/s?k=lavadora+de+tenis+con+cepillo,752,0,135.00,0.72,4800000,"[45,34,45,100,66,66,83,66,55,45,55,55]",2025-10-13,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Ads middle",informational,Organic
tenis deportivos mujer,6,6,14800,36,0.05,https://www.amazon.com.mx/b?ie=UTF8&node=14093243011,740,0,37.00,1,32700000,"[100,82,82,100,82,100,82,82,67,82,82,82]",2025-10-03,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","commercial, informational",Organic
tenis jordan blancos,1,1,5400,37,0.10,https://www.amazon.com.mx/Air-Jordan-Retro-308497-neutro/dp/B0B1YW9T8K,719,0,71.00,0.69,6990000,"[100,67,67,81,100,54,44,54,54,54,67,54]",2025-10-03,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
tenis jordan blancos,1,1,5400,37,0.10,https://www.amazon.com.mx/Air-Jordan-DQ8426-132-Blanco-Negro-Blanco-Negro/dp/B0CWPY66NM,719,0,71.00,0.69,6990000,"[100,67,67,81,100,54,44,54,54,54,67,54]",2025-10-03,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
tenis nike negro hombre,1,1,5400,38,0.26,https://www.amazon.com.mx/Nike-Zapatos-para-Hombre-Negro/dp/B000UDXKEU,719,0,186.00,1,16800000,"[54,54,54,54,67,81,100,67,54,54,54,54]",2025-10-05,"Image pack, Sitelinks, Image, Popular products, Related searches","informational, transactional",Image pack
amazon tenis nike,1,1,880,35,0.08,https://www.amazon.com.mx/tenis-nike/s?k=tenis+nike,704,0,56.00,1,15200000,"[77,77,68,100,100,68,55,45,37,45,45,55]",2025-10-13,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","informational, transactional",Organic
amazon tenis skechers mujer,1,1,880,34,0.08,https://www.amazon.com.mx/Zapatos-para-Mujer-Skechers-Moda-Femenina/s?rh=n%3A14093028011%2Cp_89%3ASkechers,704,0,56.00,1,1550000,"[100,77,100,68,77,68,37,37,68,45,37,30]",2025-09-24,"Image pack, Sitelinks, Related searches","informational, transactional",Organic
zapatillas blancas,4,4,9900,27,0.05,https://www.amazon.com.mx/zapatillas-blancas/s?k=zapatillas+blancas,693,0,34.00,0.99,33600000,"[67,67,82,82,82,67,67,82,67,82,100,82]",2025-10-02,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
tenis jordan retro 4,3,3,9900,31,0.07,https://www.amazon.com.mx/jordan-retro-4/s?k=jordan+retro+4,693,0,48.00,0.42,21200000,"[55,55,55,67,100,55,45,55,45,45,55,45]",2025-10-02,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
zapatillas negras,8,8,22200,26,0.05,https://www.amazon.com.mx/zapatillas-negras/s?k=zapatillas+negras,666,0,33.00,0.99,31300000,"[55,55,67,82,100,55,55,55,45,55,67,67]",2025-10-05,"Image pack, Sitelinks, Video, Image, Related searches, See results about",informational,Organic
tiburon con tenis,1,1,8100,,0.00,https://www.amazon.com.mx/Gen%C3%A9rico-Tralalero-Personajes-Surrealistas-Divertidos/dp/B0FC218GGS,634,0,0.00,0,1730000,"[0,0,0,0,0,0,1,1,67,100,37,30]",2025-10-01,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
tallas de zapatos usa y mex,1,1,8100,24,0.02,https://www.amazon.com.mx/b?ie=UTF8&node=14970599011,634,0,12.00,0,6110000,"[20,24,20,20,30,45,67,67,67,100,100,67]",2025-10-04,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","commercial, informational",Image pack
tenis mk mujer,1,1,8100,29,0.07,https://www.amazon.com.mx/MICHAEL-KORS-Tenis-para-Mujer/dp/B07QD7X8H3,634,0,44.00,1,1580000,"[82,82,82,100,100,82,67,67,55,67,55,67]",2025-10-05,"Image pack, Sitelinks, Video, Image, Popular products, Related searches",informational,Image pack
tenis samba,4,4,60500,34,0.04,https://www.amazon.com.mx/adidas-samba-mujer/s?k=adidas+samba+mujer,605,0,24.00,1,18000000,"[67,67,55,82,100,82,55,67,67,67,67,67]",2025-10-06,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",navigational,Organic
tenis michael kors mujer,5,5,12100,25,0.08,https://www.amazon.com.mx/tenis-michael-kors-mujer/s?k=tenis+michael+kors+mujer,605,0,48.00,1,2040000,"[82,82,82,100,100,82,67,67,55,67,67,67]",2025-10-02,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
tenis curry,3,3,14800,29,0.08,https://www.amazon.com.mx/stephen-curry-tenis/s?k=stephen+curry+tenis,592,0,47.00,1,5610000,"[82,67,82,82,100,67,67,82,67,67,55,45]",2025-10-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","informational, transactional",Organic
zapatos de vestir hombre,6,6,14800,21,0.04,https://www.amazon.com.mx/zapatos-hombre-cafe-de-vestir/s?k=zapatos+hombre+cafe+de+vestir,592,0,23.00,1,42600000,"[82,67,82,100,100,67,55,67,55,67,82,67]",2025-10-05,"Image pack, Sitelinks, Video, Image, Popular products, Related searches","commercial, informational",Organic
tenis nike rojos,1,1,4400,38,0.08,https://www.amazon.com.mx/Nike-Air-Force-baloncesto-University/dp/B0C7N2KJ5M,586,0,46.00,1,5550000,"[67,67,67,82,100,67,67,55,55,67,67,55]",2025-10-01,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
tenis kaepa,1,1,4400,38,0.09,https://www.amazon.com.mx/Kaepa-1200-05-0-06-5-P-Classic-Porrista/dp/B00XOYD740,586,0,52.00,0.38,73300,"[44,44,44,44,100,82,44,44,55,67,100,67]",2025-10-03,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
tenis jordan retro,1,1,4400,46,0.08,https://www.amazon.com.mx/Air-Jordan-Retro-308497-neutro/dp/B0B1YW9T8K,586,0,46.00,0.83,17600000,"[82,67,82,82,100,55,44,55,55,55,55,55]",2025-10-05,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
amazon tenis mujer,1,1,720,34,0.11,https://www.amazon.com.mx/tenis-mujer/s?k=tenis+mujer,576,0,63.00,1,98,"[88,72,88,59,88,72,72,59,100,88,59,48]",2025-09-07,"Image pack, Related searches","informational, transactional",Organic
organizador de zapatos amazon,1,1,720,34,0.13,https://www.amazon.com.mx/mueble-organizador-de-zapatos/s?k=mueble+organizador+de+zapatos,576,0,74.00,1,88,"[100,72,72,88,88,72,59,39,39,39,59,32]",2025-09-07,"Image pack, Video, Image, Related searches","informational, transactional",Organic
tenis guess mujer,4,4,40500,42,0.04,https://www.amazon.com.mx/Casuales-para-Mujer-GUESS-Zapatos/s?rh=n%3A14093254011%2Cp_89%3AGUESS,567,0,22.00,1,6230000,"[82,67,82,100,100,82,67,55,45,55,45,45]",2025-10-04,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
organizador de zapatos,4,4,8100,32,0.11,https://www.amazon.com.mx/Organizadores-Calzado/b?ie=UTF8&node=23706170011,567,0,62.00,1,8570000,"[67,67,67,82,100,67,55,55,55,45,55,55]",2025-10-18,"Image pack, Sitelinks, Video, Image, Video Carousel, Popular products, Related searches",commercial,Organic
talla de zapatos en usa y méxico hombre,1,1,3600,20,0.04,https://www.amazon.com.mx/b?ie=UTF8&node=14970599011,563,0,22.00,0.05,8090000,"[36,55,66,66,82,82,100,100,100,82,100,100]",2025-10-01,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches","informational, transactional",Image pack
zapatos de seguridad,7,7,18100,43,0.14,https://www.amazon.com.mx/gp/bestsellers/shoes/14094200011,543,0,76.00,1,55200000,"[100,100,100,82,67,100,100,82,67,82,82,67]",2025-10-04,"Local pack, Image pack, Sitelinks, Video, Image, Popular products, Related searches",commercial,Organic
tenis campus,5,5,18100,28,0.06,https://www.amazon.com.mx/adidas-campus/s?k=adidas+campus,543,0,32.00,0.79,26100000,"[45,45,55,67,100,55,45,45,45,45,45,37]",2025-10-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
tenis adidas hombre,4,7,49500,39,0.05,https://www.amazon.com.mx/tenis-adidas-hombre-blancos-originales/s?k=tenis+adidas+hombre+blancos+originales,495,0,24.00,1,27800000,"[67,67,82,100,67,55,55,55,55,67,55,55]",2025-10-19,"Image pack, Sitelinks, Image, Related searches","informational, transactional",Organic
zapatos hombre,5,5,9900,23,0.07,https://www.amazon.com.mx/b?ie=UTF8&node=14093017011,495,0,34.00,1,142000000,"[67,67,67,82,100,82,67,67,55,67,67,55]",2025-10-05,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
tenis jordan 4,1,1,3600,40,0.09,https://www.amazon.com.mx/Air-Jordan-Retro-308497-neutro/dp/B0B1YW9T8K,479,0,43.00,0.47,44900000,"[55,55,55,67,100,55,44,44,55,55,55,44]",2025-10-05,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
moda tenis puma de mujer,1,1,3600,40,0.04,https://www.amazon.com.mx/PUMA-Rebelle-Plataforma-JP_Footwear_Size_System-Measurement/dp/B0CVLJKTB4,479,0,19.00,0.41,10500000,"[54,67,67,100,100,81,67,67,67,67,67,67]",2025-10-03,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
tenis 270 nike,1,1,3600,38,0.07,https://www.amazon.com.mx/Nike-Wmns-Air-MAX-270/dp/B07G2SX8J2,479,0,33.00,0.84,7870000,"[44,19,30,54,100,54,81,81,81,81,100,100]",2025-10-03,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
tenis jordan hombre originales,1,1,3600,46,0.05,https://www.amazon.com.mx/Nike-Jordan-Retro-414571-144-hombre/dp/B09R164916,479,0,23.00,1,6880000,"[67,67,81,81,100,54,44,44,44,54,54,44]",2025-10-04,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Image pack
tenis nike verdes,1,1,3600,38,0.11,https://www.amazon.com.mx/Nike-Jordan-Zapatos-hombre-Negro-Verde-Blanco/dp/B0BZ6TYL6P,479,0,52.00,0.81,6490000,"[81,67,67,81,100,67,54,54,54,54,54,54]",2025-10-02,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
amazon tenis adidas,1,1,590,34,0.10,https://www.amazon.com.mx/Calzado-de-Tenis-para-Hombre-Adidas/s?rh=n%3A14093598011%2Cp_89%3AAdidas,472,0,47.00,1,78,"[82,67,100,82,82,100,67,54,100,82,54,67]",2025-09-09,"Image pack, Video, Related searches","informational, transactional",Organic
amazon tenis hombre,1,1,590,34,0.12,https://www.amazon.com.mx/tenis-hombre/s?k=tenis+hombre,472,0,56.00,1,20800000,"[55,55,67,82,82,67,67,67,100,100,55,44]",2025-09-05,"Image pack, Video, Image, Related searches","informational, transactional",Organic
tenis amazon mujer,1,1,590,34,0.11,https://www.amazon.com.mx/tenis-mujer/s?k=tenis+mujer,472,0,51.00,1,22800000,"[55,67,82,67,100,82,44,67,67,67,44,30]",2025-09-05,"Image pack, Image, Related searches","informational, transactional",Organic
dr scholl zapatos,1,1,1000,26,0.05,https://www.amazon.com.mx/dr-scholls-zapatos-mujer/s?k=dr.+scholl%27s+zapatos+mujer,470,0,23.00,1,536000,"[100,77,77,77,77,77,77,100,77,100,100,100]",2025-10-12,"Image pack, Sitelinks, Video, Image, People also ask, Related searches","commercial, informational",Organic
zapatos suecos de mujer,1,1,1000,29,0.09,https://www.amazon.com.mx/suecos/s?k=suecos,470,0,42.00,1,872000,"[100,68,77,77,100,45,45,100,100,100,77,77]",2025-10-12,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
zapatillas lila,1,1,1000,33,0.08,https://www.amazon.com.mx/zapatillas-lila/s?k=zapatillas+lila,470,0,37.00,0.98,9080000,"[68,68,68,100,84,46,38,38,38,31,31,31]",2025-09-24,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
zapatos de payaso,3,3,6600,34,0.02,https://www.amazon.com.mx/zapatos-de-payaso/s?k=zapatos+de+payaso,462,0,9.00,0.66,6830000,"[67,55,100,67,55,44,55,67,100,55,55,55]",2025-10-05,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
tenis con casquillo,3,3,6600,18,0.07,https://www.amazon.com.mx/tenis-de-trabajo-hombre-casquillo/s?k=tenis+de+trabajo+hombre+casquillo,462,0,32.00,1,724000,"[100,100,100,100,81,100,100,81,81,81,81,67]",2025-10-04,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",informational,Organic
zapatos negros mujer,4,4,6600,21,0.04,https://www.amazon.com.mx/Zapatos-para-Mujer-Negro-Moda-Femenina/s?rh=n%3A14093028011%2Cp_n_size_six_browse-vebin%3A14145068011,462,0,18.00,1,40900000,"[81,67,100,100,100,81,81,81,67,81,81,81]",2025-10-02,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
tenis air max,9,9,14800,33,0.07,https://www.amazon.com.mx/nike-air-max-mujer/s?k=nike+air+max+mujer,444,0,31.00,1,48700000,"[67,67,67,82,100,67,55,67,67,67,67,67]",2025-10-04,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
tenis negros hombre,7,7,14800,28,0.05,https://www.amazon.com.mx/Calzado-de-Tenis-para-Hombre-Negro/s?rh=n%3A14093598011%2Cp_n_size_six_browse-vebin%3A14145068011,444,0,22.00,1,22800000,"[45,45,67,82,100,82,55,67,55,55,67,67]",2025-10-03,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
tenis cortez,1,1,5400,31,0.08,https://www.amazon.com.mx/Nike-Cortez-para-hombre/dp/B0DLKDJ21J,422,0,33.00,0.89,5460000,"[67,67,67,81,100,67,67,67,54,67,67,67]",2025-10-04,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches","commercial, informational",Image pack
tenis air force one,1,1,5400,31,0.07,https://www.amazon.com.mx/Nike-Force-Shoes-White-315122-111/dp/B01HK4Y8KG,422,0,29.00,0.94,17400000,"[67,55,55,82,100,55,44,44,44,55,55,55]",2025-10-04,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
zapatillas transparentes,1,1,5400,30,0.07,https://www.amazon.com.mx/DANDANJIE-Zapatillas-Transparentes-Plataforma-Sandalias/dp/B07P3LPFLK,422,0,29.00,1,4560000,"[82,82,82,100,100,67,67,67,67,82,100,82]",2025-10-01,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
tenis dr scholls,1,1,880,32,0.08,https://www.amazon.com.mx/dr-scholls-sneakers/s?k=dr+scholls+sneakers,413,0,33.00,1,205000,"[45,55,100,63,63,55,45,45,45,30,37,37]",2025-09-27,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
zapatos terciopelo,1,1,880,22,0.22,https://www.amazon.com.mx/zapatos-de-terciopelo-mujer/s?k=zapatos+de+terciopelo+mujer,413,0,90.00,1,6160000,"[6,1,1,10,1,10,1,44,44,100,15,29]",2025-09-22,"Image pack, Video, Image, Related searches",informational,Organic
tenis sonic niño,1,1,880,27,0.15,https://www.amazon.com.mx/tenis-sonic/s?k=tenis+sonic,413,0,61.00,1,1730000,"[38,46,38,38,38,53,100,46,31,25,38,21]",2025-10-08,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
tenis merrell hombre,1,1,880,20,0.06,https://www.amazon.com.mx/Calzado-para-Correr-Hombre-Merrell-Deportivo/s?keywords=Calzado+para+Correr+para+Hombre&rh=n%3A14093602011%2Cp_89%3AMerrell&c=ts&ts_id=14093602011,413,0,24.00,1,77,"[100,88,88,72,88,88,72,88,88,88,72,39]",2025-09-11,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
zapatos nauticos hombre,1,1,880,25,0.05,https://www.amazon.com.mx/Zapatos-para-Hombre-Nautica-Moda-Masculina/s?rh=n%3A14093017011%2Cp_89%3ANautica,413,0,20.00,1,671000,"[88,72,88,88,100,88,72,88,88,88,88,88]",2025-10-02,"Image pack, Sitelinks, Video, Image, Ads top, Ads bottom, People also ask, Related searches, Ads middle",informational,Organic
zapatos bruno marc,1,1,880,32,0.04,https://www.amazon.com.mx/stores/BrunoMarc/page/65EF5D05-E147-48F5-B0A2-5BE3AFD274FD,413,0,16.00,1,661000,"[55,68,68,77,100,77,55,55,55,55,68,68]",2025-10-08,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",informational,Organic
tenis merrell mujer,1,1,880,27,0.05,https://www.amazon.com.mx/Zapatos-para-Mujer-Merrell-Moda-Femenina/s?rh=n%3A14093028011%2Cp_89%3AMerrell,413,0,20.00,1,1750000,"[82,82,82,82,100,100,82,100,100,82,100,82]",2025-09-23,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
bruno marc zapatos,1,1,880,31,0.05,https://www.amazon.com.mx/stores/BrunoMarc/page/65EF5D05-E147-48F5-B0A2-5BE3AFD274FD,413,0,20.00,1,676000,"[55,55,68,77,100,68,45,45,55,55,77,68]",2025-10-13,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
zapatillas,5,5,49500,19,0.07,https://www.amazon.com.mx/Gen%C3%A9rico-Tac%C3%B3nes-Zapatillas-C%C3%B3modos-Elegantes/dp/B0CB9G8438,412,0,28.00,0.88,142000000,"[67,67,82,100,100,82,67,82,67,82,100,82]",2025-10-05,"Image pack, Video, Image, Related searches",informational,Image pack
tenis patines,5,5,8100,29,0.08,https://www.amazon.com.mx/tenis-patines-adulto/s?k=tenis+patines+adulto,405,0,32.00,1,11100000,"[16,16,20,45,100,55,16,13,13,13,13,11]",2025-10-05,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches",informational,Organic
tenis kurt geiger,5,5,8100,27,0.06,https://www.amazon.com.mx/kurt-geiger-tenis/s?k=kurt+geiger+tenis,405,0,24.00,1,676000,"[67,67,82,82,100,67,67,67,55,55,45,45]",2025-10-02,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
tenis coach,6,6,49500,44,0.02,https://www.amazon.com.mx/tenis-coach-hombre-originales/s?k=tenis+coach+hombre+originales,396,0,7.00,1,35700000,"[67,67,67,82,100,67,55,67,55,55,55,55]",2025-10-04,"Image pack, Sitelinks, Video, Image, Related searches","informational, transactional",Organic
zapatos clinicos,2,2,4400,27,0.07,https://www.amazon.com.mx/zapatos-clinicos-mujer/s?k=zapatos+clinicos+mujer,396,0,27.00,1,612000,"[100,45,24,16,16,36,36,20,11,16,20,45]",2025-10-05,"Local pack, Image pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Organic
tenis nike travis scott,1,1,2900,36,0.09,https://www.amazon.com.mx/Nike-Jordan-High-Travis-Scott/dp/B07SBCJRJM,386,0,34.00,0.35,6740000,"[44,54,54,67,100,81,54,44,44,44,44,35]",2025-10-01,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
tenis nike air max 720,1,1,2900,39,0.09,https://www.amazon.com.mx/Nike-Zapatos-met%C3%A1lico-plateado-c%C3%B3smico/dp/B0825DFGZL,386,0,34.00,0.26,3130000,"[23,30,36,66,100,82,82,82,82,82,82,82]",2025-10-10,"Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Image pack
tenis champion de mujer,1,1,2900,25,0.05,https://www.amazon.com.mx/Champion-Arena-Power-Zapatillas-Mujer/dp/B0D8JLR28M,386,0,19.00,1,5760000,"[100,82,82,100,100,66,66,66,55,55,55,55]",2025-10-02,"Image pack, Sitelinks, Video, Image, Related searches",informational,Image pack
